ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
1084,32,2021-07-26 18:04,Mon Jul 26 2021 13:04:37 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:04:46 GMT-0500 (Central Daylight Time),8732,practice,4,-1,sankey,B,sample,4,7,0,7,1
1096,32,2021-07-26 18:05,Mon Jul 26 2021 13:04:46 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:05:14 GMT-0500 (Central Daylight Time),28300,practice,4,-1,sankey,B,sample,5,7,0,8,1
2434,55,2021-07-26 20:05,Mon Jul 26 2021 13:04:52 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:05:03 GMT-0700 (Pacific Daylight Time),10635,study,3,1,sankey,A,space,3,7,1,3,1
2435,55,2021-07-26 20:06,Mon Jul 26 2021 13:05:03 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:06:57 GMT-0700 (Pacific Daylight Time),114213,study,3,1,sankey,A,space,4,7,2,4,1
1101,22,2021-07-26 18:05,Mon Jul 26 2021 13:05:15 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:05:29 GMT-0500 (Central Daylight Time),13767,study,2,0,sankey,A,debt,3,7,0,8,1
1108,32,2021-07-26 18:05,Mon Jul 26 2021 13:05:22 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:05:49 GMT-0500 (Central Daylight Time),26997,practice,4,-1,chord,A,sample,1,7,0,9,1
1106,22,2021-07-26 18:05,Mon Jul 26 2021 13:05:29 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:05:44 GMT-0500 (Central Daylight Time),14805,study,2,0,sankey,A,debt,4,7,0,9,1
1113,22,2021-07-26 18:06,Mon Jul 26 2021 13:05:44 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:06:00 GMT-0500 (Central Daylight Time),16297,study,2,0,sankey,A,debt,5,7,0,10,1
1126,32,2021-07-26 18:06,Mon Jul 26 2021 13:05:49 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:06:30 GMT-0500 (Central Daylight Time),40929,practice,4,-1,chord,A,sample,2,7,2,10,1
1127,22,2021-07-26 18:06,Mon Jul 26 2021 13:06:09 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:06:32 GMT-0500 (Central Daylight Time),22300,study,2,0,chord,B,space,1,7,0,11,2
1132,32,2021-07-26 18:06,Mon Jul 26 2021 13:06:30 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:06:44 GMT-0500 (Central Daylight Time),13919,practice,4,-1,chord,A,sample,3,7,1,1,1
